election_code,election_date,territory_code,territory_name,territory_type,organ,state,party,party_full,party_type,votes,votes_pct,mandates,presidents,absolute_majorities,electoral_circles_compete
AUT25,2025-10-12,010132,Belazaima do Chão,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,1,0.27,NA,NA,NA,NA
AUT25,2025-10-12,010133,Borralha,Freguesia,CM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,660,58.1,NA,NA,NA,NA
AUT25,2025-10-12,010133,Borralha,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,240,21.13,NA,NA,NA,NA
AUT25,2025-10-12,010133,Borralha,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,100,8.8,NA,NA,NA,NA
AUT25,2025-10-12,010133,Borralha,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,67,5.9,NA,NA,NA,NA
AUT25,2025-10-12,010133,Borralha,Freguesia,CM,Resultados Apurados,B.E., ,PoliticalParty,8,0.7,NA,NA,NA,NA
AUT25,2025-10-12,010133,Borralha,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,7,0.62,NA,NA,NA,NA
AUT25,2025-10-12,010134,Castanheira do Vouga,Freguesia,CM,Resultados Apurados,PPD/PSD.MPT, ,Coalition,294,76.36,NA,NA,NA,NA
AUT25,2025-10-12,010134,Castanheira do Vouga,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,36,9.35,NA,NA,NA,NA
AUT25,2025-10-12,010134,Castanheira do Vouga,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,24,6.23,NA,NA,NA,NA
AUT25,2025-10-12,010134,Castanheira do Vouga,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,20,5.19,NA,NA,NA,NA
AUT25,2025-10-12,010134,Castanheira do Vouga,Freguesia,CM,Resultados Apurados,B.E., ,PoliticalParty,3,0.78,NA,NA,NA,NA
AUT25,2025-10-12,010134,Castanheira do Vouga,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,2,0.52,NA,NA,NA,NA
AUT25,2025-10-12,010202,Alquerubim,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,660,45.27,NA,NA,NA,NA
AUT25,2025-10-12,010202,Alquerubim,Freguesia,CM,Resultados Apurados,PPD/PSD.IL, ,Coalition,615,42.18,NA,NA,NA,NA
AUT25,2025-10-12,010202,Alquerubim,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,80,5.49,NA,NA,NA,NA
AUT25,2025-10-12,010202,Alquerubim,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,52,3.57,NA,NA,NA,NA
AUT25,2025-10-12,010202,Alquerubim,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,10,0.69,NA,NA,NA,NA
AUT25,2025-10-12,010203,Angeja,Freguesia,CM,Resultados Apurados,PPD/PSD.IL, ,Coalition,507,40.14,NA,NA,NA,NA
AUT25,2025-10-12,010203,Angeja,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,417,33.02,NA,NA,NA,NA
AUT25,2025-10-12,010203,Angeja,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,146,11.56,NA,NA,NA,NA
AUT25,2025-10-12,010203,Angeja,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,101,8,NA,NA,NA,NA
AUT25,2025-10-12,010203,Angeja,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,44,3.48,NA,NA,NA,NA
AUT25,2025-10-12,010204,Branca,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,2142,68.06,NA,NA,NA,NA
AUT25,2025-10-12,010204,Branca,Freguesia,CM,Resultados Apurados,PPD/PSD.IL, ,Coalition,610,19.38,NA,NA,NA,NA
AUT25,2025-10-12,010204,Branca,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,178,5.66,NA,NA,NA,NA
AUT25,2025-10-12,010204,Branca,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,112,3.56,NA,NA,NA,NA
AUT25,2025-10-12,010204,Branca,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,36,1.14,NA,NA,NA,NA
AUT25,2025-10-12,010206,Ribeira de Fráguas,Freguesia,CM,Resultados Apurados,CDS-PP, ,PoliticalParty,688,70.71,NA,NA,NA,NA
AUT25,2025-10-12,010206,Ribeira de Fráguas,Freguesia,CM,Resultados Apurados,PPD/PSD.IL, ,Coalition,171,17.57,NA,NA,NA,NA
