election_code,election_date,territory_code,territory_name,territory_type,organ,subscribers,votes,voters_pct,abstention_pct,blank_votes,blank_pct,null_votes,null_pct,mandates_assigned,mandates_unassigned,mandates_total,state
AUT25,2025-10-12,021401,Pedrógão,Freguesia,CM,830,588,70.84,29.159999999999997,6,1.02,3,0.51,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021402,Selmes,Freguesia,CM,654,425,64.98,35.019999999999996,7,1.65,4,0.94,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021403,Vidigueira,Freguesia,CM,2350,1645,70,30,23,1.4,10,0.61,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,021404,Vila de Frades,Freguesia,CM,732,538,73.5,26.5,9,1.67,4,0.74,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030102,Barreiros,Freguesia,CM,696,544,78.16,21.840000000000003,4,0.74,8,1.47,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030104,Bico,Freguesia,CM,736,568,77.17,22.83,7,1.23,4,0.7,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030105,Caires,Freguesia,CM,837,652,77.9,22.099999999999994,8,1.23,4,0.61,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030107,Carrazedo,Freguesia,CM,754,541,71.75,28.25,11,2.03,2,0.37,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030108,Dornelas,Freguesia,CM,478,360,75.31,24.689999999999998,7,1.94,3,0.83,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030111,Fiscal,Freguesia,CM,686,504,73.47,26.53,10,1.98,6,1.19,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030112,Goães,Freguesia,CM,532,411,77.26,22.739999999999995,2,0.49,3,0.73,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030113,Lago,Freguesia,CM,1774,1228,69.22,30.78,25,2.04,17,1.38,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030118,Rendufe,Freguesia,CM,1032,778,75.39,24.61,11,1.41,12,1.54,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030119,Bouro (Santa Maria),Freguesia,CM,660,503,76.21,23.790000000000006,10,1.99,1,0.2,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030120,Bouro (Santa Marta),Freguesia,CM,443,311,70.2,29.799999999999997,12,3.86,5,1.61,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030125,Amares e Figueiredo,Freguesia,CM,2637,1860,70.53,29.47,25,1.34,11,0.59,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030126,"Caldelas, Sequeiros e Paranhos",Freguesia,CM,1072,806,75.19,24.810000000000002,14,1.74,5,0.62,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030127,"Ferreiros, Prozelo e Besteiros",Freguesia,CM,4283,2955,68.99,31.010000000000005,49,1.66,29,0.98,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030128,Torre e Portela,Freguesia,CM,547,387,70.75,29.25,11,2.84,8,2.07,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030129,"Vilela, Seramil e Paredes Secas",Freguesia,CM,508,404,79.53,20.47,7,1.73,4,0.99,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030201,Abade de Neiva,Freguesia,CM,1900,1417,74.58,25.42,32,2.26,23,1.62,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030202,Aborim,Freguesia,CM,731,553,75.65,24.349999999999994,14,2.53,1,0.18,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030203,Adães,Freguesia,CM,674,533,79.08,20.92,5,0.94,3,0.56,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030205,Airó,Freguesia,CM,885,648,73.22,26.78,18,2.78,9,1.39,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030206,Aldreu,Freguesia,CM,722,527,72.99,27.010000000000005,10,1.9,4,0.76,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,030208,Alvelos,Freguesia,CM,1857,1471,79.21,20.790000000000006,22,1.5,18,1.22,NA,NA,NA,Resultados Apurados
