election_code,election_date,territory_code,territory_name,territory_type,organ,state,party,party_full,party_type,votes,votes_pct,mandates,presidents,absolute_majorities,electoral_circles_compete
AUT25,2025-10-12,090306,Forno Telheiro,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,79,17.59,1,0,NA,NA
AUT25,2025-10-12,090307,Lajeosa do Mondego,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,280,59.83,4,1,NA,NA
AUT25,2025-10-12,090307,Lajeosa do Mondego,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,169,36.11,3,0,NA,NA
AUT25,2025-10-12,090308,Linhares,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,81,49.69,4,1,NA,NA
AUT25,2025-10-12,090308,Linhares,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,79,48.47,3,0,NA,NA
AUT25,2025-10-12,090309,Maçal do Chão,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,87,82.08,7,1,NA,NA
AUT25,2025-10-12,090310,Mesquitela,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,124,75.15,6,1,NA,NA
AUT25,2025-10-12,090310,Mesquitela,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,36,21.82,1,0,NA,NA
AUT25,2025-10-12,090311,Minhocal,Freguesia,AF,Plenário/Outros,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUT25,2025-10-12,090312,Prados,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,68,53.13,4,1,NA,NA
AUT25,2025-10-12,090312,Prados,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,60,46.88,3,0,NA,NA
AUT25,2025-10-12,090314,Ratoeira,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,109,51.17,4,1,NA,NA
AUT25,2025-10-12,090314,Ratoeira,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,101,47.42,3,0,NA,NA
AUT25,2025-10-12,090318,Vale de Azares,Freguesia,AF,Resultados Apurados,MVA, ,GroupCitizen,151,72.6,7,1,NA,NA
AUT25,2025-10-12,090322,Casas do Soeiro,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,180,52.79,4,1,NA,NA
AUT25,2025-10-12,090322,Casas do Soeiro,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,150,43.99,3,0,NA,NA
AUT25,2025-10-12,090323,Açores e Velosa,Freguesia,AF,Resultados Apurados,PPD/PSD, ,PoliticalParty,197,58.11,4,1,NA,NA
AUT25,2025-10-12,090323,Açores e Velosa,Freguesia,AF,Resultados Apurados,PS, ,PoliticalParty,134,39.53,3,0,NA,NA
