election_code,election_date,territory_code,territory_name,territory_type,organ,subscribers,votes,voters_pct,abstention_pct,blank_votes,blank_pct,null_votes,null_pct,mandates_assigned,mandates_unassigned,mandates_total,state
AUT25,2025-10-12,010811,Veiros,Freguesia,AM,2205,1131,51.29,48.71,22,1.95,24,2.12,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010901,Argoncilhe,Freguesia,AM,7531,4841,64.28,35.72,110,2.27,62,1.28,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010902,Arrifana,Freguesia,AM,5631,2900,51.5,48.5,74,2.55,53,1.83,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010904,Escapães,Freguesia,AM,3075,1994,64.85,35.150000000000006,41,2.06,28,1.4,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010907,Fiães,Freguesia,AM,6780,4079,60.16,39.84,100,2.45,70,1.72,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010908,Fornos,Freguesia,AM,3040,1935,63.65,36.35,54,2.79,31,1.6,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010913,Lourosa,Freguesia,AM,7735,4792,61.95,38.05,99,2.07,68,1.42,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010914,Milheirós de Poiares,Freguesia,AM,3289,2173,66.07,33.93000000000001,64,2.95,29,1.33,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010916,Mozelos,Freguesia,AM,6657,4266,64.08,35.92,104,2.44,39,0.91,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010917,Nogueira da Regedoura,Freguesia,AM,5262,3442,65.41,34.59,103,2.99,46,1.34,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010918,São Paio de Oleiros,Freguesia,AM,3456,2187,63.28,36.72,64,2.93,21,0.96,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010919,Paços de Brandão,Freguesia,AM,4390,2916,66.42,33.58,76,2.61,37,1.27,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010921,Rio Meão,Freguesia,AM,4508,2841,63.02,36.98,55,1.94,61,2.15,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010922,Romariz,Freguesia,AM,2774,1658,59.77,40.23,41,2.47,18,1.09,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010924,Sanguedo,Freguesia,AM,3179,2134,67.13,32.870000000000005,53,2.48,25,1.17,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010925,Santa Maria de Lamas,Freguesia,AM,4391,3004,68.41,31.590000000000003,59,1.96,32,1.07,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010926,São João de Ver,Freguesia,AM,9871,5992,60.7,39.3,97,1.62,56,0.93,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010935,"Santa Maria da Feira, Travanca, Sanfins e Espargo",Freguesia,AM,17734,10238,57.73,42.27,233,2.28,93,0.91,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010937,Caldas de São Jorge,Freguesia,AM,2500,1649,65.96,34.040000000000006,39,2.37,29,1.76,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010938,Canedo,Freguesia,AM,5660,3283,58,42,75,2.28,59,1.8,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010939,Gião,Freguesia,AM,1716,1103,64.28,35.72,26,2.36,15,1.36,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010940,Guisande,Freguesia,AM,1176,831,70.66,29.340000000000003,12,1.44,15,1.81,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010941,Lobão,Freguesia,AM,5358,3268,60.99,39.01,94,2.88,41,1.25,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010942,Louredo,Freguesia,AM,1271,898,70.65,29.349999999999994,19,2.12,14,1.56,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010943,Mosteirô,Freguesia,AM,1843,1159,62.89,37.11,21,1.81,20,1.73,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010944,Pigeiros,Freguesia,AM,987,725,73.45,26.549999999999997,14,1.93,6,0.83,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010945,São Miguel de Souto,Freguesia,AM,4257,2641,62.04,37.96,53,2.01,37,1.4,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010946,Vale,Freguesia,AM,1642,1173,71.44,28.560000000000002,28,2.39,15,1.28,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,010947,Vila Maior,Freguesia,AM,1410,928,65.82,34.18000000000001,21,2.26,15,1.62,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011005,Gafanha da Encarnação,Freguesia,AM,5224,2606,49.89,50.11,70,2.69,30,1.15,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011006,Gafanha da Nazaré,Freguesia,AM,14096,6725,47.71,52.29,184,2.74,81,1.2,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011007,Gafanha do Carmo,Freguesia,AM,1788,1082,60.51,39.49,23,2.13,20,1.85,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011008,Ílhavo (São Salvador),Freguesia,AM,15312,8000,52.25,47.75,209,2.61,82,1.03,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011102,Barcouço,Freguesia,AM,1875,1052,56.11,43.89,30,2.85,22,2.09,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011103,Casal Comba,Freguesia,AM,2891,1637,56.62,43.38,32,1.95,13,0.79,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011104,Luso,Freguesia,AM,2145,1392,64.9,35.099999999999994,24,1.72,12,0.86,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011106,Pampilhosa,Freguesia,AM,3484,2041,58.58,41.42,57,2.79,25,1.22,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011107,Vacariça,Freguesia,AM,1574,977,62.07,37.93,27,2.76,12,1.23,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011110,Antes,Freguesia,AM,854,574,67.21,32.790000000000006,24,4.18,8,1.39,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011111,Mealhada,Freguesia,AM,3905,2231,57.13,42.87,68,3.05,20,0.9,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011112,Ventosa do Bairro,Freguesia,AM,944,582,61.65,38.35,13,2.23,13,2.23,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011201,Bunheiro,Freguesia,AM,2429,1396,57.47,42.53,26,1.86,19,1.36,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011202,Monte,Freguesia,AM,1560,858,55,45,14,1.63,10,1.17,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011203,Murtosa,Freguesia,AM,3199,1547,48.36,51.64,35,2.26,7,0.45,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011204,Torreira,Freguesia,AM,2821,1621,57.46,42.54,39,2.41,20,1.23,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011301,Carregosa,Freguesia,AM,3066,2118,69.08,30.92,50,2.36,29,1.37,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011302,Cesar,Freguesia,AM,2805,1706,60.82,39.18,50,2.93,24,1.41,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011303,Fajões,Freguesia,AM,2723,1816,66.69,33.31,29,1.6,29,1.6,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011304,Loureiro,Freguesia,AM,3349,2028,60.56,39.44,46,2.27,17,0.84,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011305,Macieira de Sarnes,Freguesia,AM,1642,1099,66.93,33.06999999999999,19,1.73,10,0.91,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011310,Ossela,Freguesia,AM,1772,1286,72.57,27.430000000000007,24,1.87,15,1.17,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011315,São Martinho da Gândara,Freguesia,AM,1749,1209,69.13,30.870000000000005,22,1.82,14,1.16,NA,NA,NA,Resultados Apurados
AUT25,2025-10-12,011318,São Roque,Freguesia,AM,4585,2761,60.22,39.78,74,2.68,38,1.38,NA,NA,NA,Resultados Apurados
